Summary,Issue key,Issue id,Issue Type,Status,Project key,Project name,Project type,Project lead,Project lead id,Priority,Resolution,Assignee,Assignee Id,Reporter,Reporter Id,Creator,Creator Id,Created,Updated,Last Viewed,Resolved,Due date,Votes,Description,Environment,Watchers,Watchers Id,Original estimate,Remaining Estimate,Time Spent,Work Ratio
Test the feedback functionality. (US4.2.4),SCRUM-37,10041,Subtask,Done,SCRUM,Agile Manifesto,software,Raushan Kumar,712021:b6e52a83-d82c-4e59-92cd-e8a2a005cc07,Medium,Done,,,Amar Kumar,712021:b6e52a83-d82c-4e59-92cd-e8a2a005cc07,Amar Kumar,712020:43f29996-8e3d-4403-a3c9-bbc1a009000b,32:18.8,44:18.8,05-01-2025 00:53,05-01-2025 00:10,,0,,,Amar Kumar,712020:43f29996-8e3d-4403-a3c9-bbc1a009000b,,,,
Implement frontend integration with APIs. (US4.2.3),SCRUM-36,10040,Subtask,Done,SCRUM,Agile Manifesto,software,Raushan Kumar,712021:b6e52a83-d82c-4e59-92cd-e8a2a005cc07,Medium,Done,,,Amar Kumar,712021:b6e52a83-d82c-4e59-92cd-e8a2a005cc07,Amar Kumar,712020:43f29996-8e3d-4403-a3c9-bbc1a009000b,38:18.8,52:18.8,06-01-2025 00:37,05-01-2025 00:27,,0,,,Amar Kumar,712020:43f29996-8e3d-4403-a3c9-bbc1a009000b,,,,
Develop backend APIs for storing feedbacks. (US4.2.2),SCRUM-35,10039,Subtask,Done,SCRUM,Agile Manifesto,software,Raushan Kumar,712021:b6e52a83-d82c-4e59-92cd-e8a2a005cc07,Medium,Done,,,Amar Kumar,712021:b6e52a83-d82c-4e59-92cd-e8a2a005cc07,Amar Kumar,712020:43f29996-8e3d-4403-a3c9-bbc1a009000b,01:18.8,26:18.8,06-01-2025 00:37,05-01-2025 00:10,,0,,,Amar Kumar,712020:43f29996-8e3d-4403-a3c9-bbc1a009000b,,,,
Design the feedback input field and UI. (US4.2.1),SCRUM-34,10038,Subtask,Done,SCRUM,Agile Manifesto,software,Raushan Kumar,712021:b6e52a83-d82c-4e59-92cd-e8a2a005cc07,Medium,Done,,,Amar Kumar,712021:b6e52a83-d82c-4e59-92cd-e8a2a005cc07,Amar Kumar,712020:43f29996-8e3d-4403-a3c9-bbc1a009000b,46:18.8,57:18.8,06-01-2025 00:37,05-01-2025 00:10,,0,,,Amar Kumar,712020:43f29996-8e3d-4403-a3c9-bbc1a009000b,,,,
Conduct user testing and gather feedback. (US1.1.4),SCRUM-33,10037,Subtask,Done,SCRUM,Agile Manifesto,software,Raushan Kumar,712021:b6e52a83-d82c-4e59-92cd-e8a2a005cc07,Medium,Done,golu,5d1b3d38ca72d00d24b9ee7c,Amar Kumar,712021:b6e52a83-d82c-4e59-92cd-e8a2a005cc07,Amar Kumar,712020:43f29996-8e3d-4403-a3c9-bbc1a009000b,06:18.8,06:18.8,06-01-2025 00:37,05-01-2025 00:07,,0,,,Amar Kumar,712020:43f29996-8e3d-4403-a3c9-bbc1a009000b,,,,
Integrate animations using JavaScript. (US1.1.3),SCRUM-32,10036,Subtask,Done,SCRUM,Agile Manifesto,software,Raushan Kumar,712021:b6e52a83-d82c-4e59-92cd-e8a2a005cc07,Medium,Done,golu,5d1b3d38ca72d00d24b9ee7c,Amar Kumar,712021:b6e52a83-d82c-4e59-92cd-e8a2a005cc07,Amar Kumar,712020:43f29996-8e3d-4403-a3c9-bbc1a009000b,37:18.8,06:18.8,06-01-2025 00:37,05-01-2025 00:07,,0,,,Amar Kumar,712020:43f29996-8e3d-4403-a3c9-bbc1a009000b,,,,
Develop HTML and CSS for the layout. (US1.1.2),SCRUM-31,10035,Subtask,Done,SCRUM,Agile Manifesto,software,Raushan Kumar,712021:b6e52a83-d82c-4e59-92cd-e8a2a005cc07,Medium,Done,tarun,557058:e7818814-a7b5-4e3c-8d82-b746fde13dd6,Amar Kumar,712021:b6e52a83-d82c-4e59-92cd-e8a2a005cc07,Amar Kumar,712020:43f29996-8e3d-4403-a3c9-bbc1a009000b,00:18.8,11:18.8,06-01-2025 00:37,05-01-2025 00:07,,0,,,Amar Kumar,712020:43f29996-8e3d-4403-a3c9-bbc1a009000b,,,,
Create wireframes for the homepage. (US1.1.1),SCRUM-30,10034,Subtask,Done,SCRUM,Agile Manifesto,software,Raushan Kumar,712021:b6e52a83-d82c-4e59-92cd-e8a2a005cc07,Medium,Done,tarun,557058:e7818814-a7b5-4e3c-8d82-b746fde13dd6,Amar Kumar,712021:b6e52a83-d82c-4e59-92cd-e8a2a005cc07,Amar Kumar,712020:43f29996-8e3d-4403-a3c9-bbc1a009000b,44:18.8,54:18.8,05-01-2025 00:06,05-01-2025 00:07,,0,,,Amar Kumar,712020:43f29996-8e3d-4403-a3c9-bbc1a009000b,,,,
Implement user authentication for collaboration features. (US04.3),SCRUM-29,10033,Task,Done,SCRUM,Agile Manifesto,software,Raushan Kumar,712021:b6e52a83-d82c-4e59-92cd-e8a2a005cc07,Medium,Done,tarun,557058:e7818814-a7b5-4e3c-8d82-b746fde13dd6,Amar Kumar,712021:b6e52a83-d82c-4e59-92cd-e8a2a005cc07,Amar Kumar,712020:43f29996-8e3d-4403-a3c9-bbc1a009000b,57:18.8,17:18.8,05-01-2025 00:50,05-01-2025 00:10,,0,,,Amar Kumar,712020:43f29996-8e3d-4403-a3c9-bbc1a009000b,,,,
Enable users to feedback on resources and principles. (US04.2),SCRUM-28,10032,Task,Done,SCRUM,Agile Manifesto,software,Raushan Kumar,712021:b6e52a83-d82c-4e59-92cd-e8a2a005cc07,Medium,Done,golu,5d1b3d38ca72d00d24b9ee7c,Amar Kumar,712021:b6e52a83-d82c-4e59-92cd-e8a2a005cc07,Amar Kumar,712020:43f29996-8e3d-4403-a3c9-bbc1a009000b,43:18.8,19:18.8,05-01-2025 00:27,05-01-2025 00:28,,0,,,Amar Kumar,712020:43f29996-8e3d-4403-a3c9-bbc1a009000b,,,,
